      IND             SHC     g | h         n         m
      436   -1.036430e+03         h        20        18
      437    1.190624e+03         g        20        19
      438   -1.638440e+03         h        20        19
      439    1.220769e+03         g        20        20
      440    1.084741e+03         h        20        20
      441    3.260858e+03         g        21         0
      442   -2.855027e+04         g        21         1
      443   -1.218573e+04         h        21         1
      444   -1.226817e+04         g        21         2
      445    1.736115e+04         h        21         2
      446   -1.002674e+04         g        21         3
      447    3.419467e+04         h        21         3
      448   -8.248961e+03         g        21         4
      449    2.250167e+04         h        21         4
      450    1.667102e+04         g        21         5
      451    1.278040e+04         h        21         5
      452   -1.586772e+04         g        21         6
      453    2.187640e+04         h        21         6
      454   -4.855214e+03         g        21         7
      455    2.832594e+04         h        21         7
      456    2.232388e+04         g        21         8
      457    1.693741e+04         h        21         8
      458    1.475046e+03         g        21         9
      459    4.652212e+03         h        21         9
      460   -7.526909e+03         g        21        10
      461    1.642570e+04         h        21        10
      462    5.490510e+03         g        21        11
      463    1.567902e+04         h        21        11
      464    2.450967e+03         g        21        12
      465    3.637547e+03         h        21        12
      466   -1.311638e+03         g        21        13
      467    1.015716e+04         h        21        13
      468   -4.738956e+02         g        21        14
      469    7.295745e+03         h        21        14
      470   -1.405782e+03         g        21        15
      471    2.875823e+03         h        21        15
      472   -3.448881e+03         g        21        16
      473    1.672206e+03         h        21        16
      474   -2.046607e+03         g        21        17
      475    2.255197e+03         h        21        17
      476   -1.312587e+03         g        21        18
      477    6.781088e+02         h        21        18
      478   -4.178203e+02         g        21        19
      479   -2.309543e+02         h        21        19
      480   -8.185686e+02         g        21        20
      481   -1.233611e+03         h        21        20
      482    1.056078e+03         g        21        21
      483   -7.096093e+02         h        21        21
      484   -4.258875e+03         g        22         0
      485   -3.081362e+04         g        22         1
      486   -9.398220e+03         h        22         1
      487    9.253317e+03         g        22         2
      488    2.431847e+04         h        22         2
      489    4.786635e+03         g        22         3
      490    3.198467e+04         h        22         3
      491    9.623098e+03         g        22         4
      492    3.899187e+03         h        22         4
      493    2.357340e+04         g        22         5
      494    4.795141e+03         h        22         5
      495    4.945502e+03         g        22         6
      496    1.347805e+04         h        22         6
      497    2.187408e+04         g        22         7
      498    1.130447e+04         h        22         7
      499    2.619683e+04         g        22         8
      500   -1.066125e+04         h        22         8
      501    6.599315e+03         g        22         9
      502   -9.057504e+03         h        22         9
      503    9.961265e+03         g        22        10
      504    6.175447e+03         h        22        10
      505    1.299647e+04         g        22        11
      506   -1.310952e+03         h        22        11
      507    8.943247e+03         g        22        12
      508   -6.748554e+03         h        22        12
      509    6.411409e+03         g        22        13
      510    1.839790e+03         h        22        13
      511    7.150860e+03         g        22        14
      512    6.449791e+02         h        22        14
      513    2.497058e+03         g        22        15
      514    4.717648e+02         h        22        15
      515    2.535834e+03         g        22        16
      516    1.316075e+03         h        22        16
      517    8.085350e+02         g        22        17
      518    1.485325e+03         h        22        17
      519    1.411072e+03         g        22        18
      520    2.619707e+03         h        22        18
      521    6.015587e+02         g        22        19
      522    1.095224e+03         h        22        19
      523   -2.305662e+02         g        22        20
      524    2.525233e+02         h        22        20
      525   -1.109782e+03         g        22        21
      526    2.116291e+02         h        22        21
      527   -3.410397e+02         g        22        22
      528   -9.299221e+02         h        22        22
      529   -9.100246e+03         g        23         0
      530   -1.406997e+04         g        23         1
      531   -8.519973e+03         h        23         1
      532    7.589034e+03         g        23         2
      533    1.165511e+04         h        23         2
      534    3.101419e+03         g        23         3
      535    2.004162e+03         h        23         3
      536    4.245659e+03         g        23         4
      537   -1.336730e+04         h        23         4
      538   -1.730030e+03         g        23         5
      539   -6.950810e+03         h        23         5
      540    2.663133e+03         g        23         6
      541   -8.585456e+02         h        23         6
      542    1.197378e+04         g        23         7
      543   -7.830153e+03         h        23         7
      544   -2.890862e+03         g        23         8
      545   -2.293530e+04         h        23         8
      546   -9.027043e+03         g        23         9
      547   -1.208791e+04         h        23         9
      548    2.656610e+03         g        23        10
      549   -1.660141e+03         h        23        10
      550   -1.576419e+03         g        23        11
      551   -1.295637e+04         h        23        11
      552   -4.037456e+03         g        23        12
      553   -9.483245e+03         h        23        12
      554    3.552027e+02         g        23        13
      555   -5.686340e+03         h        23        13
      556    7.997361e+02         g        23        14
      557   -5.790791e+03         h        23        14
      558   -1.030091e+03         g        23        15
      559   -3.743817e+03         h        23        15
      560    1.047108e+03         g        23        16
