# 
# ****** Theory ******
# Vector Potential-based
# Using 3 NNs
# ****** Obs Data Info ******
# PJ data: orbit 1-50
# cutRj: 4.0
# ****** Neural Network Info ******
# NN Size and Shape: 6*[40];
# NN Activation function: swish;
# NN Optimizer: Adam;
# Dynamic Weights: 1;
# RAD parameter: k=1, c=0, n0=3000, dn=600;
# Epochs: 12000;
# Batch size: 10000;
# Seed: 67890;
# Epoch      Loss     TLoss   LObs_bx   LObs_by   LObs_bz LCol_curlBx LCol_curlBy LCol_curlBz      wObs        LR
0000096 2.958e+01 1.003e+01 7.234e-02 8.706e-02 1.298e-01 4.223e+00 3.486e+00 2.031e+00 6.862e+01 1.958e-03
0000097 2.929e+01 1.047e+01 7.541e-02 8.379e-02 1.288e-01 4.434e+00 3.596e+00 2.149e+00 6.636e+01 1.957e-03
0000098 3.072e+01 1.114e+01 7.648e-02 8.895e-02 1.239e-01 4.643e+00 3.857e+00 2.350e+00 6.867e+01 1.957e-03
0000099 3.007e+01 9.943e+00 7.411e-02 8.676e-02 1.276e-01 4.239e+00 3.543e+00 1.873e+00 7.079e+01 1.956e-03
0000100 2.923e+01 1.105e+01 7.198e-02 7.694e-02 1.205e-01 4.318e+00 3.814e+00 2.649e+00 6.846e+01 1.956e-03
0000101 2.978e+01 1.058e+01 7.921e-02 8.464e-02 1.220e-01 4.347e+00 3.958e+00 1.988e+00 6.817e+01 1.955e-03
0000102 2.838e+01 1.063e+01 7.271e-02 8.014e-02 1.216e-01 4.357e+00 3.657e+00 2.338e+00 6.567e+01 1.955e-03
0000103 3.055e+01 1.122e+01 7.454e-02 8.305e-02 1.185e-01 4.690e+00 3.602e+00 2.654e+00 7.099e+01 1.955e-03
0000104 3.295e+01 1.384e+01 7.649e-02 7.573e-02 1.204e-01 5.944e+00 4.278e+00 3.343e+00 7.112e+01 1.954e-03
0000105 3.017e+01 1.116e+01 7.224e-02 7.424e-02 1.153e-01 4.713e+00 3.778e+00 2.411e+00 7.361e+01 1.954e-03
0000106 4.718e+01 2.615e+01 6.995e-02 8.374e-02 1.255e-01 1.134e+01 7.159e+00 7.369e+00 7.633e+01 1.953e-03
0000107 3.044e+01 1.035e+01 6.364e-02 7.224e-02 1.127e-01 4.789e+00 3.517e+00 1.792e+00 8.181e+01 1.953e-03
0000108 3.102e+01 1.098e+01 6.602e-02 7.035e-02 1.090e-01 4.892e+00 3.851e+00 1.994e+00 8.264e+01 1.952e-03
0000109 2.903e+01 1.044e+01 6.421e-02 6.523e-02 1.058e-01 4.601e+00 3.458e+00 2.151e+00 7.998e+01 1.952e-03
0000110 3.239e+01 1.319e+01 6.835e-02 7.783e-02 1.051e-01 4.854e+00 5.086e+00 2.998e+00 7.743e+01 1.952e-03
0000111 2.869e+01 9.996e+00 6.480e-02 7.104e-02 1.039e-01 4.150e+00 3.569e+00 2.038e+00 7.896e+01 1.951e-03
0000112 3.049e+01 1.220e+01 6.373e-02 6.944e-02 1.063e-01 4.843e+00 4.400e+00 2.712e+00 7.741e+01 1.951e-03
0000113 2.541e+01 8.611e+00 5.925e-02 6.621e-02 9.882e-02 3.772e+00 3.014e+00 1.600e+00 7.589e+01 1.950e-03
0000114 2.733e+01 9.820e+00 6.363e-02 7.266e-02 1.045e-01 3.645e+00 3.534e+00 2.400e+00 7.370e+01 1.950e-03
0000115 2.641e+01 9.627e+00 6.039e-02 6.854e-02 1.026e-01 3.890e+00 3.548e+00 1.957e+00 7.346e+01 1.949e-03
0000116 2.479e+01 8.541e+00 5.975e-02 6.888e-02 1.003e-01 3.686e+00 3.006e+00 1.620e+00 7.196e+01 1.949e-03
0000117 2.614e+01 1.011e+01 5.929e-02 6.895e-02 1.054e-01 4.148e+00 3.480e+00 2.244e+00 6.966e+01 1.948e-03
0000118 2.486e+01 8.782e+00 6.171e-02 6.782e-02 9.988e-02 3.783e+00 2.927e+00 1.841e+00 7.109e+01 1.948e-03
0000119 3.401e+01 1.775e+01 5.893e-02 6.848e-02 1.016e-01 6.933e+00 5.442e+00 5.143e+00 7.201e+01 1.948e-03
0000120 3.103e+01 1.327e+01 5.859e-02 6.730e-02 1.003e-01 5.179e+00 4.287e+00 3.574e+00 7.953e+01 1.947e-03
0000121 2.689e+01 9.777e+00 5.543e-02 6.245e-02 9.625e-02 4.092e+00 3.388e+00 2.083e+00 8.093e+01 1.947e-03
0000122 2.699e+01 9.506e+00 6.322e-02 6.375e-02 9.897e-02 3.716e+00 3.515e+00 2.049e+00 7.839e+01 1.946e-03
0000123 2.494e+01 8.800e+00 5.839e-02 6.077e-02 9.546e-02 3.580e+00 3.178e+00 1.828e+00 7.621e+01 1.946e-03
0000124 2.449e+01 9.322e+00 5.702e-02 6.165e-02 9.203e-02 4.312e+00 2.931e+00 1.868e+00 7.298e+01 1.945e-03
0000125 2.552e+01 9.628e+00 5.612e-02 6.028e-02 9.765e-02 4.236e+00 3.276e+00 1.903e+00 7.525e+01 1.945e-03
0000126 2.578e+01 9.963e+00 5.986e-02 6.056e-02 9.574e-02 3.918e+00 3.753e+00 2.076e+00 7.419e+01 1.945e-03
0000127 2.681e+01 1.129e+01 5.581e-02 6.369e-02 9.299e-02 4.456e+00 3.873e+00 2.749e+00 7.402e+01 1.944e-03
